 -0.31415926E+01 -0.31415926E+01 -0.12396151E+01  0.19999247E+01
 -0.31415926E+01 -0.30781261E+01 -0.20121028E+01  0.30803177E+01
 -0.31415926E+01 -0.30146597E+01 -0.14274445E+01  0.22213855E+01
 -0.31415926E+01 -0.29511932E+01 -0.10047748E+01  0.17538311E+01
 -0.31415926E+01 -0.28877267E+01 -0.68120581E+00  0.14635786E+01
 -0.31415926E+01 -0.28242603E+01 -0.19932846E+00  0.11178991E+01
 -0.31415926E+01 -0.27607938E+01  0.20351286E+00  0.89244471E+00
 -0.31415926E+01 -0.26973273E+01  0.70628783E+00  0.67374154E+00
 -0.31415926E+01 -0.26338609E+01  0.12155066E+01  0.50680465E+00
 -0.31415926E+01 -0.25703944E+01  0.16249503E+01  0.40310304E+00
 -0.31415926E+01 -0.25069280E+01  0.19782634E+01  0.33084277E+00
 -0.31415926E+01 -0.24434615E+01  0.24158517E+01  0.25903761E+00
 -0.31415926E+01 -0.23799950E+01  0.28211260E+01  0.20651460E+00
 -0.31415926E+01 -0.23165286E+01  0.32841666E+01  0.15940847E+00
 -0.31415926E+01 -0.22530621E+01  0.36156556E+01  0.13243918E+00
 -0.31415926E+01 -0.21895956E+01  0.39412263E+01  0.11039736E+00
 -0.31415926E+01 -0.21261292E+01  0.42766051E+01  0.91520680E-01
 -0.31415926E+01 -0.20626627E+01  0.45871519E+01  0.76932471E-01
 -0.31415926E+01 -0.19991962E+01  0.47460783E+01  0.70391118E-01
 -0.31415926E+01 -0.19357298E+01  0.49357540E+01  0.63308091E-01
 -0.31415926E+01 -0.18722633E+01  0.50855185E+01  0.58222675E-01
 -0.31415926E+01 -0.18087968E+01  0.52048341E+01  0.54465182E-01
 -0.31415926E+01 -0.17453304E+01  0.52757977E+01  0.52346420E-01
 -0.31415926E+01 -0.16818639E+01  0.53073770E+01  0.51430251E-01
 -0.31415926E+01 -0.16183974E+01  0.53123969E+01  0.51286098E-01
 -0.31415926E+01 -0.15549310E+01  0.53299783E+01  0.50784410E-01
 -0.31415926E+01 -0.14914645E+01  0.51648309E+01  0.55697136E-01
 -0.31415926E+01 -0.14279981E+01  0.50212087E+01  0.60354325E-01
 -0.31415926E+01 -0.13645316E+01  0.48258521E+01  0.67320372E-01
 -0.31415926E+01 -0.13010651E+01  0.46419007E+01  0.74613108E-01
 -0.31415926E+01 -0.12375987E+01  0.44014372E+01  0.85350580E-01
 -0.31415926E+01 -0.11741322E+01  0.41843350E+01  0.96366264E-01
 -0.31415926E+01 -0.11106657E+01  0.40161636E+01  0.10586729E+00
 -0.31415926E+01 -0.10471993E+01  0.38294727E+01  0.11751563E+00
 -0.31415926E+01 -0.98373280E+00  0.37286777E+01  0.12432874E+00
 -0.31415926E+01 -0.92026634E+00  0.36251584E+01  0.13173735E+00
 -0.31415926E+01 -0.85679987E+00  0.35266322E+01  0.13919828E+00
 -0.31415926E+01 -0.79333341E+00  0.34650870E+01  0.14407174E+00
 -0.31415926E+01 -0.72986694E+00  0.34059383E+01  0.14891614E+00
 -0.31415926E+01 -0.66640048E+00  0.34670610E+01  0.14391281E+00
 -0.31415926E+01 -0.60293401E+00  0.34862866E+01  0.14237408E+00
 -0.31415926E+01 -0.53946755E+00  0.35266935E+01  0.13919352E+00
 -0.31415926E+01 -0.47600108E+00  0.35726255E+01  0.13566425E+00
 -0.31415926E+01 -0.41253462E+00  0.36985067E+01  0.12644390E+00
 -0.31415926E+01 -0.34906816E+00  0.38466910E+01  0.11638970E+00
 -0.31415926E+01 -0.28560169E+00  0.40576492E+01  0.10343986E+00
 -0.31415926E+01 -0.22213523E+00  0.41849588E+01  0.96332659E-01
 -0.31415926E+01 -0.15866876E+00  0.43022169E+01  0.90219406E-01
 -0.31415926E+01 -0.95202297E-01  0.45126837E+01  0.80203380E-01
